# doping	kf	T	Mabs	Mabs_err	Chi	Chi_err	Tau
0.18	0.34	5.03333	0.279267	0.0116026	0.668697	0.0476062	1.96347
0.18	0.34	5.4	0.255933	0.014084	0.55617	0.0539384	2.86571
0.18	0.34	5.76667	0.233733	0.012954	0.435924	0.0440121	2.87602
0.18	0.34	6.13333	0.236733	0.0156402	0.418848	0.0495069	4.09549
0.18	0.34	6.5	0.218133	0.0156125	0.339687	0.0432915	4.66355
0.18	0.34	6.86667	0.225933	0.0172504	0.343031	0.0465517	5.3057
0.18	0.34	7.23333	0.219133	0.0180815	0.310205	0.0477767	6.03298
0.18	0.34	7.6	0.207467	0.0164496	0.262359	0.0371108	5.70545
0.18	0.34	7.96667	0.1952	0.0169199	0.217743	0.0339975	6.9579
0.18	0.34	8.33333	0.2024	0.0174486	0.234701	0.0361543	6.27687
0.18	0.34	8.7	0.208	0.0188596	0.226655	0.0365554	7.72242
0.18	0.34	9.06667	0.1858	0.0185447	0.177671	0.0331176	8.78581
0.18	0.34	9.43333	0.190867	0.0156682	0.180946	0.0261231	5.99054
0.18	0.34	9.8	0.176467	0.0181351	0.148417	0.027529	9.17547
0.18	0.34	10.1667	0.1784	0.0166417	0.147183	0.0243364	7.57872
0.18	0.34	10.5333	0.187067	0.0197194	0.148476	0.0284379	10.3166
0.18	0.34	10.9	0.198667	0.0207126	0.161892	0.0309983	10.1148
0.18	0.34	11.2667	0.208533	0.0233883	0.179475	0.0357209	11.1897
0.18	0.34	11.6333	0.1746	0.0207638	0.120556	0.0259513	13.1806
0.18	0.34	12	0.187333	0.0277342	0.137002	0.035089	19.162
0.18	0.42	1	0.500133	0.00682609	8.20291	0.243873	1
0.18	0.42	1.36667	0.170267	0.00459476	0.867673	0.0391882	1
0.18	0.42	1.73333	0.205933	0.00694299	1.15101	0.0823645	1
0.18	0.42	2.1	0.227333	0.00815075	1.21233	0.0792831	1
0.18	0.42	2.46667	0.215267	0.00752983	0.90815	0.0586368	1
0.18	0.42	2.83333	0.218267	0.00932026	0.803067	0.0599887	1.53731
0.18	0.42	3.2	0.2024	0.0111322	0.611877	0.0594476	2.52902
0.18	0.42	3.56667	0.218467	0.0127862	0.613599	0.0635583	3.22543
0.18	0.42	3.93333	0.197133	0.0138222	0.470168	0.0602977	4.14521
0.18	0.42	4.3	0.1934	0.014043	0.390833	0.0491097	5.23349
0.18	0.42	4.66667	0.185067	0.0124787	0.342899	0.0422112	3.94037
0.18	0.42	5.03333	0.183867	0.0167352	0.308985	0.0507101	7.66337
0.18	0.42	5.4	0.1966	0.0176979	0.325506	0.0534425	7.75047
0.18	0.42	5.76667	0.179067	0.0180493	0.257521	0.0459497	8.81131
0.18	0.42	6.13333	0.172467	0.0248148	0.233726	0.0595465	16.9027
0.18	0.42	6.5	0.161933	0.0160055	0.191461	0.0333955	8.22255
0.18	0.42	6.86667	0.159667	0.017287	0.180123	0.0358819	9.11844
0.18	0.42	7.23333	0.167933	0.0211455	0.186985	0.0417068	13.0396
0.18	0.42	7.6	0.179933	0.030976	0.204761	0.0647698	24.1899
0.18	0.42	7.96667	0.159733	0.0218131	0.154398	0.0371556	14.6286
0.18	0.42	8.33333	0.1828	0.0205608	0.186358	0.0399444	11.3902
0.18	0.42	8.7	0.162867	0.0218362	0.144645	0.0349179	14.1062
